date,marketCap,open,close
2025-11-25,1371236519,110.1
2025-11-18,547577893,43.94
2025-11-11,517757698,41.57
2025-11-04,527157911,42.34
2025-10-28,437891983,35.2
2025-10-21,400937634,32.36
2025-10-14,249470413,20.07
2025-10-07,302340077,24.36
2025-09-30,305430103,24.62
2025-09-23,288428325,23.29
2025-09-16,291010551,23.48
2025-09-09,271992643,21.98
2025-09-02,275778178,22.27
2025-08-26,271475213,21.96
2025-08-19,253795462,20.54
2025-08-12,280627127,22.75
2025-08-05,280344735,22.72
2025-07-29,264627988,21.48
2025-07-22,251777952,20.43
2025-07-15,237430620,19.27
2025-07-08,244601512,19.89
2025-07-01,255329294,20.77
2025-06-24,253212122,20.61
2025-06-17,284939789,23.19
2025-06-10,306803362,25.02
2025-06-03,289017726,23.58
2025-05-27,283518299,23.16
2025-05-20,283087333,23.13
2025-05-13,271529663,22.19
2025-05-06,249541420,20.43
2025-04-29,243231160,19.91
2025-04-22,264010161,21.61
2025-04-15,293602859,24.08
2025-04-08,288327716,23.67
2025-04-01,268682141,22.07
2025-03-25,298104624,24.51
2025-03-18,318578182,26.19
2025-03-11,337406587,27.77
2025-03-04,336039812,27.67
2025-02-25,297784942,24.56
2025-02-18,412100328,33.97
2025-02-11,430164729,35.48
2025-02-04,478189294,39.64
2025-01-28,446404188,36.88
2025-01-21,486925954,40.28
2025-01-14,491761843,40.61
2025-01-07,441687949,36.51
2024-12-31,586272192,48.62
2024-12-24,784187673,65.03
2024-12-17,442734760,36.75
2024-12-10,345157979,28.72
2024-12-03,300163236,25.04
2024-11-26,282363972,23.47
2024-11-19,266240409,22.17
2024-11-12,281122797,23.45
2024-11-05,283860027,23.69
2024-10-29,274235243,22.98
2024-10-22,275403194,23.02
2024-10-15,310598669,25.95
2024-10-08,299229487,25.05
2024-10-01,286715595,24.01
2024-09-24,286651759,23.99
2024-09-17,278370071,23.29
2024-09-10,312088349,26.18
2024-09-03,300460509,25.2
2024-08-27,282554157,23.78
2024-08-20,305597326,25.67
2024-08-13,306295919,25.75
2024-08-06,326136506,27.44
2024-07-30,283961764,23.91
2024-07-23,261602651,21.97
2024-07-16,292608061,24.65
2024-07-09,279231196,23.61
2024-07-02,307316056,25.92
2024-06-25,357185461,30.2
2024-06-18,353279846,29.91
2024-06-11,358281938,30.4
2024-06-04,346818624,29.44
2024-05-28,353541712,30.05
2024-05-21,343566937,29.19
2024-05-14,359738270,30.57
2024-05-07,341476643,29.04
2024-04-30,433257833,36.88
2024-04-23,432751622,36.91
2024-04-16,450630473,38.27
2024-04-09,418820268,35.8
2024-04-02,476991076,40.74
2024-03-26,459607784,39.22
2024-03-19,374731468,31.96
2024-03-12,345785484,29.62
2024-03-05,338140676,28.99
2024-02-27,314033353,26.94
2024-02-20,317471321,27.23
2024-02-13,314119964,26.98
2024-02-06,324356670,27.88
2024-01-30,349554555,29.99
2024-01-23,349026610,30.02
2024-01-16,429455591,36.93
