date,coin,marketCap
2022-05-22,Bitcoin,561696351559
2022-05-15,Bitcoin,573777699744
2022-05-08,Bitcoin,678702448511
2022-05-01,Bitcoin,719611115951
2022-04-24,Bitcoin,752414150959
2022-04-17,Bitcoin,770439827829
2022-04-10,Bitcoin,812734148493
2022-04-03,Bitcoin,871050305859
2022-03-27,Bitcoin,845235093873
2022-03-20,Bitcoin,800887993391
2022-03-13,Bitcoin,738456528058
2022-03-06,Bitcoin,748197160856
2022-02-27,Bitcoin,741083625918
2022-02-20,Bitcoin,761447243940
2022-02-13,Bitcoin,799547462143
2022-02-06,Bitcoin,786295053042
2022-01-30,Bitcoin,722829009646
2022-01-23,Bitcoin,666220701468
2022-01-16,Bitcoin,816800318527
2022-01-09,Bitcoin,792892599976
2022-01-02,Bitcoin,904551946917
2021-12-26,Bitcoin,958099737763
2021-12-19,Bitcoin,887944269264
2021-12-12,Bitcoin,930603779264
2021-12-05,Bitcoin,930097457942
2021-11-28,Bitcoin,1030781591913
2021-11-21,Bitcoin,1134300362589
2021-11-14,Bitcoin,1220299721851
2021-11-07,Bitcoin,1162489871875
2021-10-31,Bitcoin,1166423768410
2021-10-24,Bitcoin,1161166467847
2021-10-17,Bitcoin,1153847028825
2021-10-10,Bitcoin,1038524699061
2021-10-03,Bitcoin,900582483713
2021-09-26,Bitcoin,808279417023
2021-09-19,Bitcoin,907957032341
2021-09-12,Bitcoin,849828231596
2021-09-05,Bitcoin,940538655660
2021-08-29,Bitcoin,920017911099
2021-08-22,Bitcoin,920750216465
2021-08-15,Bitcoin,886593539913
2021-08-08,Bitcoin,838457486988
2021-08-01,Bitcoin,784039345926
2021-07-25,Bitcoin,642012590041
2021-07-18,Bitcoin,592581931071
2021-07-11,Bitcoin,632185737683
2021-07-04,Bitcoin,650382046625
2021-06-27,Bitcoin,600235334321
2021-06-20,Bitcoin,666901325910
2021-06-13,Bitcoin,668148892256
2021-06-06,Bitcoin,662913486273
2021-05-30,Bitcoin,654239808357
2021-05-23,Bitcoin,702143968884
2021-05-16,Bitcoin,875321252276
2021-05-09,Bitcoin,1099271802311
2021-05-02,Bitcoin,1080897634123
2021-04-25,Bitcoin,937014999515
2021-04-18,Bitcoin,1125592412523
2021-04-11,Bitcoin,1116221525334
2021-04-04,Bitcoin,1067101827373
2021-03-28,Bitcoin,1042184275333
2021-03-21,Bitcoin,1090022321078
2021-03-14,Bitcoin,1145191373522
2021-03-07,Bitcoin,916504852500
2021-02-28,Bitcoin,869649724201
2021-02-21,Bitcoin,1050555931433
2021-02-14,Bitcoin,874425017687
2021-02-07,Bitcoin,732453192637
2021-01-31,Bitcoin,636624676861
2021-01-24,Bitcoin,596744391345
2021-01-17,Bitcoin,674660879866
2021-01-10,Bitcoin,749347201463
2021-01-03,Bitcoin,597887713054
2020-12-27,Bitcoin,491978602970
2020-12-20,Bitcoin,443289431125
2020-12-13,Bitcoin,349235537026
2020-12-06,Bitcoin,355244908735
2020-11-29,Bitcoin,328812520406
2020-11-22,Bitcoin,346623937352
2020-11-15,Bitcoin,298290647831
2020-11-08,Bitcoin,274687727890
2020-11-01,Bitcoin,255329261021
2020-10-25,Bitcoin,242785151288
2020-10-18,Bitcoin,210421523307
2020-10-11,Bitcoin,209268690953
2020-10-04,Bitcoin,195188285650
2020-09-27,Bitcoin,198687083452
2020-09-20,Bitcoin,204994315603
2020-09-13,Bitcoin,192997988416
2020-09-06,Bitcoin,188092098308
2020-08-30,Bitcoin,212114842612
2020-08-23,Bitcoin,215641597240
2020-08-16,Bitcoin,219049736823
2020-08-09,Bitcoin,216526346494
2020-08-02,Bitcoin,217741425309
2020-07-26,Bitcoin,178740874539
2020-07-19,Bitcoin,169031588403
2020-07-12,Bitcoin,170191069703
2020-07-05,Bitcoin,168258822207
2020-06-28,Bitcoin,166004979430
2020-06-21,Bitcoin,172323213442
2020-06-14,Bitcoin,174275005803
2020-06-07,Bitcoin,177901732350
2020-05-31,Bitcoin,177978616383
2020-05-24,Bitcoin,168614573111
2020-05-17,Bitcoin,172309401207
2020-05-10,Bitcoin,175752574355
2020-05-03,Bitcoin,164603123456
2020-04-26,Bitcoin,138298135123
2020-04-19,Bitcoin,132775323305
2020-04-12,Bitcoin,125980543742
2020-04-05,Bitcoin,125564427826
2020-03-29,Bitcoin,114171796491
2020-03-22,Bitcoin,112349835902
2020-03-15,Bitcoin,95216478865
2020-03-08,Bitcoin,162543409238
2020-03-01,Bitcoin,156047250857
2020-02-23,Bitcoin,176097270350
2020-02-16,Bitcoin,180265718401
2020-02-09,Bitcoin,180081607384
2020-02-02,Bitcoin,170361167834
2020-01-26,Bitcoin,151794495723
2020-01-19,Bitcoin,161823609428
2020-01-12,Bitcoin,145561586659
2020-01-05,Bitcoin,133474716218
2019-12-29,Bitcoin,132567576728
2019-12-22,Bitcoin,129342305760
2019-12-15,Bitcoin,128114177662
2019-12-08,Bitcoin,135655571431
2019-12-01,Bitcoin,136619988248
2019-11-24,Bitcoin,132153647358
2019-11-17,Bitcoin,153343011226
2019-11-10,Bitcoin,159050488592
2019-11-03,Bitcoin,167702162283
2019-10-27,Bitcoin,166118326255
2019-10-20,Bitcoin,143016860664
2019-10-13,Bitcoin,149460560799
2019-10-06,Bitcoin,146326858013
2019-09-29,Bitcoin,147518938470
2019-09-22,Bitcoin,179541584401
2019-09-15,Bitcoin,185709926005
2019-09-08,Bitcoin,187490153206
2019-09-01,Bitcoin,172069023390
2019-08-25,Bitcoin,181764456091
2019-08-18,Bitcoin,182893178091
2019-08-11,Bitcoin,202567916483
2019-08-04,Bitcoin,192658484290
2019-07-28,Bitcoin,168472890624
2019-07-21,Bitcoin,190839615019
2019-07-14,Bitcoin,202979011731
2019-07-07,Bitcoin,200989208003
2019-06-30,Bitcoin,213020899675
2019-06-23,Bitcoin,190271555704
2019-06-16,Bitcoin,156571955413
2019-06-09,Bitcoin,140990840428
2019-06-02,Bitcoin,151754429106
2019-05-26,Bitcoin,142301375409
2019-05-19,Bitcoin,129270047520
2019-05-12,Bitcoin,129323693413
2019-05-05,Bitcoin,102653043813
2019-04-28,Bitcoin,93148101240
2019-04-21,Bitcoin,93900276129
2019-04-14,Bitcoin,89473995794
2019-04-07,Bitcoin,88955701285
2019-03-31,Bitcoin,72305792937
2019-03-24,Bitcoin,70485598084
2019-03-17,Bitcoin,70497099778
2019-03-10,Bitcoin,69292799411
2019-03-03,Bitcoin,67101767699
2019-02-24,Bitcoin,72266544792
2019-02-17,Bitcoin,63547140519
2019-02-10,Bitcoin,64286029202
2019-02-03,Bitcoin,61071179758
2019-01-27,Bitcoin,62374968461
2019-01-20,Bitcoin,64269861568
2019-01-13,Bitcoin,62924488426
2019-01-06,Bitcoin,66070973627
2018-12-30,Bitcoin,66838758054
2018-12-23,Bitcoin,68846085704
2018-12-16,Bitcoin,56171263934
2018-12-09,Bitcoin,59526617774
2018-12-02,Bitcoin,73075855208
2018-11-25,Bitcoin,67756132282
2018-11-18,Bitcoin,97299989131
2018-11-11,Bitcoin,111308110603
2018-11-04,Bitcoin,110888814024
2018-10-28,Bitcoin,111998326692
2018-10-21,Bitcoin,113214078425
2018-10-14,Bitcoin,109372673142
2018-10-07,Bitcoin,114021329402
2018-09-30,Bitcoin,114265552574
2018-09-23,Bitcoin,116607568774
2018-09-16,Bitcoin,112796085615
2018-09-09,Bitcoin,106668555554
2018-09-02,Bitcoin,124380655386
2018-08-26,Bitcoin,116073397012
2018-08-19,Bitcoin,109889851531
2018-08-12,Bitcoin,106756980149
2018-08-05,Bitcoin,120489906899
2018-07-29,Bitcoin,140716208460
2018-07-22,Bitcoin,126644347499
2018-07-15,Bitcoin,107117271574
2018-07-08,Bitcoin,115842716194
2018-07-01,Bitcoin,109023438456
2018-06-24,Bitcoin,105568325741
2018-06-17,Bitcoin,110772203148
2018-06-10,Bitcoin,126683533783
2018-06-03,Bitcoin,129185013358
2018-05-27,Bitcoin,125008468874
2018-05-20,Bitcoin,139424471287
2018-05-13,Bitcoin,144426929746
2018-05-06,Bitcoin,166195961946
2018-04-29,Bitcoin,157282709009
2018-04-22,Bitcoin,150858701628
2018-04-15,Bitcoin,134086501771
2018-04-08,Bitcoin,116789559213
2018-04-01,Bitcoin,118234055447
2018-03-25,Bitcoin,146022681303
2018-03-18,Bitcoin,136472702737
2018-03-11,Bitcoin,150359761908
2018-03-04,Bitcoin,191899353575
2018-02-25,Bitcoin,164497574061
2018-02-18,Bitcoin,185692327611
2018-02-11,Bitcoin,144544944417
2018-02-04,Bitcoin,151507305723
2018-01-28,Bitcoin,196359635509
2018-01-21,Bitcoin,196828374433
2018-01-14,Bitcoin,243252295974
2018-01-07,Bitcoin,286074127681
2017-12-31,Bitcoin,248925602661
2017-12-24,Bitcoin,242218743695
2017-12-17,Bitcoin,325311461891
2017-12-10,Bitcoin,264523195369
2017-12-03,Bitcoin,188190520506
2017-11-26,Bitcoin,156058041450
2017-11-19,Bitcoin,133701043638
2017-11-12,Bitcoin,97832172888
2017-11-05,Bitcoin,123596829566
2017-10-29,Bitcoin,101977770674
2017-10-22,Bitcoin,100559216277
2017-10-15,Bitcoin,94500193338
2017-10-08,Bitcoin,75788890435
2017-10-01,Bitcoin,72162524814
2017-09-24,Bitcoin,60907151775
2017-09-17,Bitcoin,58889832717
2017-09-10,Bitcoin,68424784707
2017-09-03,Bitcoin,76631058146
2017-08-27,Bitcoin,68038485483
2017-08-20,Bitcoin,66092742689
2017-08-13,Bitcoin,66405071142
2017-08-06,Bitcoin,52607099482
2017-07-30,Bitcoin,45158066502
2017-07-23,Bitcoin,44977531724
2017-07-16,Bitcoin,31704152053
2017-07-09,Bitcoin,41409824820
2017-07-02,Bitcoin,41365191379
2017-06-25,Bitcoin,42781394179
2017-06-18,Bitcoin,42262755912
2017-06-11,Bitcoin,49382412955
2017-06-04,Bitcoin,41854068528
2017-05-28,Bitcoin,36305932628
2017-05-21,Bitcoin,33568054937
2017-05-14,Bitcoin,28867391788
2017-05-07,Bitcoin,25419561547
2017-04-30,Bitcoin,22007601315
2017-04-23,Bitcoin,20327793188
2017-04-16,Bitcoin,19310204918
2017-04-09,Bitcoin,19316186631
2017-04-02,Bitcoin,null
2017-03-26,Bitcoin,15499531724
2017-03-19,Bitcoin,16606689806
2017-03-12,Bitcoin,19950023304
2017-03-05,Bitcoin,20673857896
2017-02-26,Bitcoin,19110682514
2017-02-19,Bitcoin,17037979882
2017-02-12,Bitcoin,16167938834
2017-02-05,Bitcoin,16420090078
2017-01-29,Bitcoin,14747986190
2017-01-22,Bitcoin,14810403902
2017-01-15,Bitcoin,13236623006
2017-01-08,Bitcoin,14611836820
2017-01-01,Bitcoin,16045986193
2016-12-25,Bitcoin,14366519915
